year,state,geography_standardized,party,total_voters,percent
2016,connecticut,Middlesex,Other/Unaffiliated,37388,43.88056898737148
2016,connecticut,Middlesex,Republican,21841,25.633773062297543
2016,connecticut,New Haven,Democratic,180993,38.74682360093938
2016,connecticut,New Haven,Other/Unaffiliated,198701,42.537736798275375
2016,connecticut,New Haven,Republican,87423,18.715439600785242
2016,connecticut,New London,Democratic,54331,33.53123784954731
2016,connecticut,New London,Other/Unaffiliated,72819,44.94140010244953
2016,connecticut,New London,Republican,34881,21.52736204800316
2016,connecticut,Tolland,Democratic,30495,31.72662768680164
2016,connecticut,Tolland,Other/Unaffiliated,43786,45.55442268877838
2016,connecticut,Tolland,Republican,21837,22.718949624419984
2016,connecticut,Windham,Democratic,21566,30.78438369852259
2016,connecticut,Windham,Other/Unaffiliated,33283,47.509813717793165
2016,connecticut,Windham,Republican,15206,21.705802583684246
2016,delaware,Kent,Democratic,50156,43.16313973201608
2016,delaware,Kent,Other/Unaffiliated,30773,26.48256039104655
2016,delaware,Kent,Republican,35272,30.354299876937375
2016,delaware,New Castle,Democratic,212042,52.48993110823409
2016,delaware,New Castle,Other/Unaffiliated,98210,24.311391772100198
2016,delaware,New Castle,Republican,93715,23.198677119665714
2016,delaware,Sussex,Democratic,58654,37.72082703623911
2016,delaware,Sussex,Other/Unaffiliated,36429,23.42776295057719
2016,delaware,Sussex,Republican,60412,38.8514100131837
2016,florida,Alachua,Democratic,85519,47.766371009182514
2016,florida,Alachua,Other/Unaffiliated,43146,24.099063875421702
2016,florida,Alachua,Republican,50371,28.134565115395787
2016,florida,Baker,Democratic,5933,38.53848652159792
2016,florida,Baker,Other/Unaffiliated,1635,10.620331276388438
2016,florida,Baker,Republican,7827,50.84118220201365
2016,florida,Bay,Democratic,31879,26.80506857032347
2016,florida,Bay,Other/Unaffiliated,25609,21.533015496640854
2016,florida,Bay,Republican,61441,51.66191593303567
2016,florida,Bradford,Democratic,6454,40.04964318957493
2016,florida,Bradford,Other/Unaffiliated,2352,14.595097735029475
2016,florida,Bradford,Republican,7309,45.355259075395594
2016,florida,Brevard,Democratic,131710,31.758853585198654
2016,florida,Brevard,Other/Unaffiliated,108728,26.217270006920344
2016,florida,Brevard,Republican,174281,42.023876407881
2016,florida,Broward,Democratic,602604,50.67629616423518
2016,florida,Broward,Other/Unaffiliated,328774,27.64842018157904
2016,florida,Broward,Republican,257746,21.67528365418577
2016,florida,Calhoun,Democratic,5413,62.876059937274945
2016,florida,Calhoun,Other/Unaffiliated,930,10.802648391218492
2016,florida,Calhoun,Republican,2266,26.321291671506565
2016,florida,Charlotte,Democratic,36242,28.085211906108814
2016,florida,Charlotte,Other/Unaffiliated,36024,27.916275970025495
2016,florida,Charlotte,Republican,56777,43.99851212386569
2016,florida,Citrus,Democratic,30532,28.668544600938965
2016,florida,Citrus,Other/Unaffiliated,26680,25.051643192488264
2016,florida,Citrus,Republican,49288,46.27981220657277
2016,florida,Clay,Democratic,32230,21.814022429931843
2016,florida,Clay,Other/Unaffiliated,34879,23.60692796567151
2016,florida,Clay,Republican,80640,54.579049604396644
2016,florida,Collier,Democratic,48762,23.743834209001445
2016,florida,Collier,Other/Unaffiliated,52484,25.55619938938583
2016,florida,Collier,Republican,104121,50.69996640161272
2016,florida,Columbia,Democratic,14566,38.271150814503414
